SAMPLE	CELL
GM19434	EDEVI_20210820_S64049_PL100192554-1_B01
GM19434	EDEVI_20211130_S64049_PL100216561-1_C01
GM19434	EDEVI_20211130_S64049_PL100216561-1_D01
GM19434	EDEVI_20220125_S64049_PL100216561-3_A01
GM19434	EDEVI_20220125_S64049_PL100216561-3_B01
GM19836	EDEVI_20210902_S64049_PL100193594-1_F01
GM19836	EDEVI_20211001_S64018_PL100179097A-1_C01
GM19836	EDEVI_20211103_S64018_PL100179097A-2_D01
GM19836	EDEVI_20211122_S64018_PL100179097A-2_B01
HG02282	EDEVI_20210402_S64049_PL100170204-1_A01
HG02282	EDEVI_20210402_S64049_PL100170204-1_C01
HG02282	EDEVI_20210412_S64018_PL100170204-3_B01
HG02282	EDEVI_20210412_S64018_PL100170204-3_C01
HG02282	EDEVI_20210907_S64018_PL100194356-1_D01
HG02282	EDEVI_20211019_S64049_PL100194356-2_A01
HG03520	EDEVI_20210402_S64049_PL100170205-1_B01
HG03520	EDEVI_20210427_S64018_PL100170205A-1_A01
HG03520	EDEVI_20210603_S64018_PL100170205A-3_A01
HG03520	EDEVI_20210924_S64018_PL100194882-1_B01
HG03520	EDEVI_20210924_S64018_PL100194882-1_C01
HG03520	EDEVI_20211019_S64049_PL100194881-1_B01
