accession	description
GCA_964662315	NA19983.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662325	HG02818.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662335	HG00512.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662345	HG00513.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662355	HG01596.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662365	HG01352.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662375	HG01505.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662385	HG03065.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662395	NA20509.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662405	HG02769.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662415	HG00731.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662425	NA12329.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662435	GM19129.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662445	HG00268.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662455	HG01457.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662465	HG03456.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662475	HG03807.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662485	NA19317.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662495	GM21487.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662505	NA18939.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662515	HG02587.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662525	HG02059.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662535	HG04036.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662545	HG00732.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662555	HG03683.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662565	HG02554.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662575	HG02666.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662585	HG02018.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662595	HG00171.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662605	NA20847.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662615	HG02282.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662625	HG02011.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662635	HG01890.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662645	HG00096.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662655	HG00514.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662665	NA19238.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662675	HG01114.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662685	NA19384.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662695	HG03452.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662705	NA19650.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662715	HG03371.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662725	HG02492.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662735	HG03248.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662745	HG02953.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662755	HG00358.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662765	NA19239.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662775	NA18534.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662785	GM20355.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662795	HG00733.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662805	NA19347.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662815	HG02106.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662825	NA19434.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662845	HG03009.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662865	NA24385.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662875	HG04217.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662885	NA19331.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662895	HG00864.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662905	NA19836.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662915	HG03732.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662925	NA19705.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662935	NA19240.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662945	HG03520.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662955	HG01573.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662965	NA19036.v1.hifiasm.ENAUpload assembly for Homo sapiens
GCA_964662975	NA18989.v1.hifiasm.ENAUpload assembly for Homo sapiens
